,"La siguiente línea de precios aplica para POSADAS AL RÍO (incluye valor de lotes). En otros desarrollos consultar su vigencia, cupos y condiciones)",,,,,,,,,,,,,,,,"PLAN DE VENTA DENTRO DEL FIDEICOMISO CON ""CUPOS"" DE ENTREGA PROGRAMADA - ANTICIPO FLEXIBLE DEL 25% - SALDO 100% FINANCIADO BANCO + DESARROLLADOR",,,PROMOCIÓN PAGO CONTADO SOBRE PRECIO DE LISTA DENTRO DEL FIDEICOMISO/CUPO - APLICABLE A TODOS LOS MODELOS - SALDO 100% FINANCIADO BANCO + DESARROLLADOR,,,PLAN DE VENTA ESPECIAL PRECIO DE POZO DENTRO DEL FIDEICOMISO -  ANTICIPO FLEXIBLE DEL 35% Y AHORRO 35% SOBRE EL COSTO TOTAL (% anticipo = % descuento - Tope 35%). ,,
LÍNEA,NOMBRE,SKU,SISTEMA C.,Estilo,Tipología,Variante,M2 CUBIER.,M2 SEMIC.,Plantas,Dorm.,Baños,Toilette,Lavadero,Parrilla,COSTO PLANO,OFERTA,PRECIO LISTA,PRECIO / M2,ANTICIPO,PRECIO CONTADO,PRECIO / M2,ANTICIPO,PRECIO POZO,PRECIO / M2,ANTICIPO
BOSQUE,LOTE PROPIO 600M2 + GUARDERÍA NÁUTICA,,,,,,-,,-,-,-,-,-,,$54.000,,$67.500,$113,$16.875,$48.600,$81,$48.600,$50.625,$84,$37.969
,AMBA’Y I,,WOOD FRAMING PLUS,Moderno,1,,,,1,1-2,1,si,Ext.,Si,#REF!,Lote + Casa + Guardería,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,AMBA’Y II,,WOOD FRAMING PLUS,Moderno,1,,243,,2,3-4,3,si,Ext.,Si,$334.125,Lote + Casa + Guardería,$384.244,$1.581,$96.061,$349.313,$116.438,$349.313,$284.625,$1.171,$99.619
,LAPACHO I,,WOOD FRAMING PLUS,Moderno,2,,151,,1,1-2,1,si,Ext.,Si,$207.625,Lote + Casa + Guardería,$238.769,$1.581,$59.692,$217.063,$217.063,$217.063,$176.866,$1.171,$61.903
,LAPACHO II,,WOOD FRAMING PLUS,Moderno,2,,243,,2,3-4,3,si,Ext.,Si,$334.125,Lote + Casa + Guardería,$384.244,$1.581,$96.061,$349.313,$116.438,$349.313,$284.625,$1.171,$99.619
,CAMBOATÁ I,,WOOD FRAMING PLUS,Moderno,3,,151,,1,1-2,1,si,Ext.,Si,$207.625,Lote + Casa + Guardería,$238.769,$1.581,$59.692,$217.063,$217.063,$217.063,$176.866,$1.171,$61.903
,CAMBOATÁ II,,WOOD FRAMING PLUS,Moderno,3,,243,,2,3-4,3,si,Ext.,Si,$334.125,Lote + Casa + Guardería,$384.244,$1.581,$96.061,$349.313,$116.438,$349.313,$284.625,$1.171,$99.619
,ALECRÍN I,,WOOD FRAMING PLUS,Moderno,1,,162,,1,1-2,1,si,Ext.,Si,$222.750,Lote + Casa + Guardería,$256.163,$1.581,$64.041,$232.875,$232.875,$232.875,$189.750,$1.171,$66.413
